race,data,time_frame,"time_frame == ""2000"""
Non-Hispanic White,0.1,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2000,TRUE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,0.1,2001,FALSE
Non-Hispanic White,N.A.,2001,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,0.1,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2002,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,0.1,2003,FALSE
Non-Hispanic White,N.A.,2003,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,0.11,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,N.A.,2004,FALSE
Non-Hispanic White,0.09,2005,FALSE
Non-Hispanic White,0.25,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,8000,2005,FALSE
Non-Hispanic White,83000,2005,FALSE
Non-Hispanic White,85000,2005,FALSE
Non-Hispanic White,109000,2005,FALSE
Non-Hispanic White,89000,2005,FALSE
Non-Hispanic White,18000,2005,FALSE
Non-Hispanic White,45000,2005,FALSE
Non-Hispanic White,255000,2005,FALSE
Non-Hispanic White,162000,2005,FALSE
Non-Hispanic White,16000,2005,FALSE
Non-Hispanic White,72000,2005,FALSE
Non-Hispanic White,15000,2005,FALSE
Non-Hispanic White,224000,2005,FALSE
Non-Hispanic White,85000,2005,FALSE
Non-Hispanic White,94000,2005,FALSE
Non-Hispanic White,278000,2005,FALSE
Non-Hispanic White,13000,2005,FALSE
Non-Hispanic White,150000,2005,FALSE
Non-Hispanic White,261000,2005,FALSE
Non-Hispanic White,18000,2005,FALSE
Non-Hispanic White,59000,2005,FALSE
Non-Hispanic White,23000,2005,FALSE
Non-Hispanic White,23000,2005,FALSE
Non-Hispanic White,31000,2005,FALSE
Non-Hispanic White,28000,2005,FALSE
Non-Hispanic White,149000,2005,FALSE
Non-Hispanic White,57000,2005,FALSE
Non-Hispanic White,67000,2005,FALSE
Non-Hispanic White,208000,2005,FALSE
Non-Hispanic White,81000,2005,FALSE
Non-Hispanic White,42000,2005,FALSE
Non-Hispanic White,41000,2005,FALSE
Non-Hispanic White,78000,2005,FALSE
Non-Hispanic White,174000,2005,FALSE
Non-Hispanic White,53000,2005,FALSE
Non-Hispanic White,64000,2005,FALSE
Non-Hispanic White,154000,2005,FALSE
Non-Hispanic White,43000,2005,FALSE
Non-Hispanic White,148000,2005,FALSE
Non-Hispanic White,3000,2005,FALSE
Non-Hispanic White,120000,2005,FALSE
Non-Hispanic White,210000,2005,FALSE
Non-Hispanic White,S,2005,FALSE
Non-Hispanic White,9000,2005,FALSE
Non-Hispanic White,25000,2005,FALSE
Non-Hispanic White,61000,2005,FALSE
Non-Hispanic White,246000,2005,FALSE
Non-Hispanic White,84000,2005,FALSE
Non-Hispanic White,66000,2005,FALSE
Non-Hispanic White,9000,2005,FALSE
Non-Hispanic White,94000,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.15,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.1,2005,FALSE
Non-Hispanic White,0.17,2005,FALSE
Non-Hispanic White,0.12,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.09,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.14,2005,FALSE
Non-Hispanic White,0.18,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.13,2005,FALSE
Non-Hispanic White,0.12,2005,FALSE
Non-Hispanic White,0.12,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.05,2005,FALSE
Non-Hispanic White,0.09,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.09,2005,FALSE
Non-Hispanic White,0.17,2005,FALSE
Non-Hispanic White,0.14,2005,FALSE
Non-Hispanic White,0.15,2005,FALSE
Non-Hispanic White,0.07,2005,FALSE
Non-Hispanic White,0.12,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.16,2005,FALSE
Non-Hispanic White,0.06,2005,FALSE
Non-Hispanic White,0.13,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.21,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.12,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.14,2005,FALSE
Non-Hispanic White,0.06,2005,FALSE
Non-Hispanic White,0.1,2005,FALSE
Non-Hispanic White,S,2005,FALSE
Non-Hispanic White,0.1,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.04,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.09,2005,FALSE
Non-Hispanic White,0.18,2005,FALSE
Non-Hispanic White,0.08,2005,FALSE
Non-Hispanic White,0.11,2005,FALSE
Non-Hispanic White,0.14,2005,FALSE
Non-Hispanic White,4529000,2005,FALSE
Non-Hispanic White,4507000,2006,FALSE
Non-Hispanic White,0.11,2006,FALSE
Non-Hispanic White,0.13,2006,FALSE
Non-Hispanic White,0.08,2006,FALSE
Non-Hispanic White,0.18,2006,FALSE
Non-Hispanic White,0.09,2006,FALSE
Non-Hispanic White,0.08,2006,FALSE
Non-Hispanic White,0.08,2006,FALSE
Non-Hispanic White,0.05,2006,FALSE
Non-Hispanic White,0.08,2006,FALSE
Non-Hispanic White,0.1,2006,FALSE
Non-Hispanic White,0.04,2006,FALSE
Non-Hispanic White,0.1,2006,FALSE
Non-Hispanic White,0.12,2006,FALSE
Non-Hispanic White,0.13,2006,FALSE
Non-Hispanic White,0.09,2006,FALSE
Non-Hispanic White,0.14,2006,FALSE
Non-Hispanic White,0.11,2006,FALSE
Non-Hispanic White,0.12,2006,FALSE
Non-Hispanic White,0.14,2006,FALSE
Non-Hispanic White,0.2,2006,FALSE
Non-Hispanic White,0.16,2006,FALSE
Non-Hispanic White,0.07,2006,FALSE
